Name,Threads,Size,branch-instructions,branch-misses in %,L3-cache-misses,L3-cache-miss-rate in %,L3-cache-references,cpu-cycles,total-instructions,IPC,cpu-clock,page-faults,L1-data-cache-loads,L1-instruction-cache-load-misses,LLC-load-misses,Exe-time,Speedup
fluidanimate,1,simmedium,630790683,1.61,5098042,23.535,21661307,2357379859,4474357022,1.9,1052.809521,95361,1408769006,7394171,3720840,1.032808781,1
fluidanimate,2,simmedium,662099559,1.97,5222413,24.366,21433079,2530419696,4536535538,1.79,1188.593488,99427,1373194000,5534177,3334175,0.892938137,1.156640911
fluidanimate,4,simmedium,742992016,1.9,6129408,26.077,23505267,3621400688,4408524258,1.22,1628.306892,102278,1230319713,6531878,4490587,0.882126808,1.17081668
fluidanimate,8,simmedium,783895932,2.38,6695997,25.646,26109305,4026828500,4871385726,1.21,1812.74983,108894,1346972686,6296576,4970368,0.95203352,1.084844976
fluidanimate,1,simlarge,1616528197,1.02,11935729,36.792,32440714,4999631497,11197977192,2.24,2098.27587,147835,3263047452,6372735,8651153,2.094593048,1
fluidanimate,2,simlarge,1736277542,1.29,14141344,39.697,35622879,5599649040,11254217106,2.01,2463.822079,155155,3233404695,4737829,10850407,1.662075043,1.260227724
fluidanimate,4,simlarge,1741687559,1.53,15304241,40.493,37794465,8852497746,11775661102,1.33,3839.007938,162410,3237360442,6895825,13200085,1.602020979,1.307469175
fluidanimate,8,simlarge,1879070126,2.02,20193261,44.833,45040962,9801867568,12131021809,1.24,4236.487048,176493,3477074812,7435682,14771284,1.76546526,1.186425525
freqmine,1,simsmall,605641246,4.03,2530547,12.986,19486616,2127296836,2891339840,1.36,998.857808,80914,841956659,7107118,1593112,0.990946293,1
freqmine,2,simsmall,625399677,3.85,3251222,15.271,21289505,2262778552,2912611518,1.29,1055.476831,81524,836174638,7706647,1724784,0.813737631,1.217771251
freqmine,4,simsmall,682780326,3.84,1642222,7.621,21549152,2798996526,2809572965,1,1313.975655,82736,807351847,5906261,1493034,0.76484704,1.295613686
freqmine,8,simsmall,620362642,3.76,2687360,10.785,24918158,2665184084,2894230796,1.09,1279.255027,83975,838994326,5916334,1850235,0.754407406,1.313542636
freqmine,1,simmedium,1655657393,3.47,4744528,15.668,30281740,5568505586,9188463096,1.65,2293.270584,92612,2953334393,6427029,4412364,2.213691711,1
freqmine,2,simmedium,1719506217,3.51,5047193,16.703,30217502,5533282536,9182333496,1.66,2479.126555,92939,2778856546,7441752,3692629,1.536657333,1.440589039
freqmine,4,simmedium,1634959535,3.64,6325803,16.601,38105076,8493502432,9249692024,1.09,3726.05609,93006,2832569173,5085283,4450873,1.394612551,1.587316642
freqmine,8,simmedium,1708652139,3.57,6350419,17.837,35602661,8269384307,9177469992,1.11,3638.943369,95231,2786699281,6205548,4647807,1.444241524,1.532771129
freqmine,1,simlarge,5306873806,2.79,12886134,26.261,49070146,16656499177,32417544904,1.95,6442.799956,112913,9883704058,7701040,11074242,6.406285048,1
freqmine,2,simlarge,5234971150,2.8,12505364,25.633,48785392,17566088088,32522540583,1.85,7459.678247,112878,9839714041,7692040,10010135,4.190469742,1.528774921
freqmine,4,simlarge,5314766691,2.87,18501502,31.211,59278637,28804527032,32410300882,1.13,12206.10523,113809,9701612155,8547896,14935624,3.602548599,1.778264712
freqmine,8,simlarge,5277772819,2.94,14932578,25.798,57883453,28443163467,32440023351,1.14,11995.13558,116339,9811985147,8052508,13046561,3.664032936,1.748424525
streamcluster,1,simsmall,306037516,1.97,1241722,4.193,29612500,1454603328,2088029167,1.44,720.996281,69170,797629741,6173204,668301,0.715734005,1
streamcluster,2,simsmall,311245211,1.97,852630,2.589,32931924,1563829708,2144452673,1.37,786.865474,69160,760579483,6030773,770953,0.62616086,1.143051332
streamcluster,4,simsmall,340603160,1.82,913983,2.751,33229322,2172967720,2365775262,1.09,1033.842265,68533,732667220,7180351,646887,0.597725153,1.197429958
streamcluster,8,simsmall,8879875685,0.13,1353040,2.473,54715067,39751977413,40760430243,1.03,16901.52235,68255,13527708076,17761465,795382,5.004614592,0.14301481
streamcluster,1,simmedium,468038860,1.42,10859487,12.853,84492927,3695983513,5308993246,1.44,1562.127487,69526,2148493530,7123006,9901495,1.555947304,1
streamcluster,2,simmedium,484664505,1.32,12735523,15.246,83536175,3712651511,5316887158,1.43,1698.738816,68938,2171526530,6527092,11669043,1.083568335,1.435947558
streamcluster,4,simmedium,582866783,1.28,7016347,7.74,90647330,5403722628,5729800333,1.06,2405.805636,68679,2202508279,6256798,6672939,0.952178717,1.634091664
streamcluster,8,simmedium,10360936042,0.14,13662023,12.354,110583859,48744602852,50018780343,1.03,20664.72994,69562,16934565918,21056720,13221302,6.011892557,0.258811562
streamcluster,1,simlarge,969401425,0.89,294921237,87.575,336764450,19353900027,20171301518,1.04,7498.860271,70283,8885475540,7935116,293479007,7.326350451,1
streamcluster,2,simlarge,1023123500,0.85,297101471,86.549,343275847,20190629814,20181791530,1,8664.723954,70569,8847611761,7075314,295204688,4.551538706,1.609642568
streamcluster,4,simlarge,1295253473,0.81,290060782,84.391,343710410,29611488898,21290130945,0.72,12607.97131,70595,9111773949,8457299,290955777,3.531603098,2.074511276
streamcluster,8,simlarge,13367603304,0.13,286877568,77.382,370728218,82942774123,76328307470,0.92,35080.17745,70585,27382588709,27114053,293967185,9.75838232,0.750775099
swaptions,1,simsmall,454977100,1.87,1969822,11.358,17343594,1862066768,2686054576,1.44,878.400106,68313,870840858,7599549,739331,0.832803726,1
swaptions,2,simsmall,448811826,1.93,1076792,7.363,14625073,1713320163,2708223525,1.58,841.323876,68379,801599704,5975099,742893,0.661284685,1.259372468
swaptions,4,simsmall,477176864,1.92,1343996,7.753,17335501,2298451743,2768349128,1.2,1119.20619,68681,827897240,6228769,496423,0.633677006,1.314240092
swaptions,8,simsmall,510525696,1.86,1333376,8.481,15722651,2431692685,2867021464,1.18,1176.357523,69122,827040783,6763705,832193,0.703123569,1.184434376
swaptions,1,simmedium,1210957591,1.51,853652,6.039,14135884,4072175183,7920991920,1.95,1732.834414,68863,2469989874,6534341,688005,1.714621305,1
